trucks_count 10
drones_count 10
customers 1000
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
X	Y	Dronable	Demand	Drone_service	Truck_service	Lw
-331.670224	4165.172921	1	0.91	60	60	2700
-1424.079500	-720.320735	1	1.14	60	60	1800
-106.690976	654.915879	1	0.23	60	60	3600
-4545.911858	1301.681170	1	0.55	60	60	2700
-2446.645432	-508.049620	1	1.00	60	60	1800
2188.452440	-832.282906	1	1.91	60	60	3600
-1387.730229	1829.857071	1	1.89	60	60	2700
-1724.238717	266.434164	1	1.70	60	60	3600
5554.565188	-3778.158979	1	2.00	60	60	1800
-527.900221	1420.893251	1	0.45	60	60	1800
1741.608705	-4034.807989	1	1.85	60	60	3600
-5232.737611	3019.086812	1	0.30	60	60	3600
3642.049500	-921.761464	1	0.76	60	60	1800
-1217.819970	590.244910	1	1.50	60	60	2700
114.436350	-4004.796478	1	1.07	60	60	2700
3176.049980	331.816781	1	1.24	60	60	1800
-889.399481	154.216244	1	0.94	60	60	2700
-5670.081322	4081.899040	1	0.72	60	60	3600
-5689.621262	617.554384	1	1.52	60	60	3600
1912.816782	1218.184899	1	1.06	60	60	3600
-1778.798962	-1511.383682	1	0.88	60	60	1800
-3128.477184	1904.991483	1	1.31	60	60	1800
-3834.946701	1348.427517	1	1.79	60	60	3600
-2212.342664	4911.346476	1	0.21	60	60	1800
3851.621060	-263.754366	1	1.53	60	60	1800
-1886.112890	-1019.279415	1	0.32	60	60	1800
-1934.931591	4141.421684	1	0.33	60	60	2700
2736.629761	-3262.826091	1	1.22	60	60	3600
-4103.875239	1878.271342	1	1.58	60	60	3600
-5690.285744	1444.922474	1	0.25	60	60	3600
78.554294	3170.045044	1	1.96	60	60	3600
-4745.142409	4028.136293	1	1.65	60	60	3600
-2397.951322	2185.514044	1	0.97	60	60	1800
-5279.926253	2197.734367	1	0.32	60	60	3600
-5389.285542	3589.372232	1	1.02	60	60	1800
-388.130474	-325.967927	1	1.91	60	60	2700
-53.065159	-1924.639627	1	1.36	60	60	2700
-4364.881900	3660.981765	1	0.83	60	60	1800
732.737342	-2706.028615	1	0.78	60	60	3600
-3105.552537	3289.179289	1	0.24	60	60	1800
-290.669576	1896.229323	1	0.76	60	60	2700
-4709.872922	2564.021575	1	1.13	60	60	3600
-5945.872719	64.715447	1	1.44	60	60	1800
-4856.287494	3520.653767	1	1.17	60	60	3600
-3762.580401	3825.906080	1	1.89	60	60	3600
-2307.135249	-1987.053339	1	1.20	60	60	3600
693.626316	1204.919345	1	1.55	60	60	3600
-1022.981234	-2674.971872	1	1.47	60	60	3600
-1891.418368	2144.705506	1	1.01	60	60	3600
2427.863418	-362.751209	1	1.95	60	60	1800
2.533340	-1014.175567	1	1.64	60	60	3600
-1469.523875	-2986.595654	1	1.67	60	60	2700
989.590987	-3569.546177	1	1.21	60	60	3600
1339.295682	956.943539	1	0.37	60	60	1800
-2053.676695	3545.439117	1	1.72	60	60	2700
-662.198369	-1161.019588	1	1.60	60	60	1800
-2498.371244	702.407232	1	1.92	60	60	2700
2641.027337	-1111.760235	1	1.64	60	60	1800
-1898.083958	858.602746	1	0.87	60	60	3600
-917.858022	-632.198755	1	0.93	60	60	3600
